"","ccSVM","SVM","ccOPLS","OPLS","ccnox0","nox0"
"auc",0.508302803847404,NA,0.930948855736248,0.924880384866004,0.716052625603678,0.667524634099625
"left",0.491337022873727,NA,0.92791438499784,0.922703405371969,0.705487329793322,0.650982124023752
"right",0.525268584821081,NA,0.933983326474656,0.927057364360039,0.726617921414034,0.684067144175498
