"","ccSVM","SVM","ccOPLS","OPLS","ccnox0","nox0"
"auc",NA,NA,0.486820334300907,0.490595421578884,0.516167033205568,0.541258743424391
"left",NA,NA,0.47322796599944,0.481122673642356,0.502782899901934,0.534451155120069
"right",NA,NA,0.500412702602373,0.500068169515413,0.529551166509202,0.548066331728713
