"","ccSVM","SVM","ccOPLS","OPLS","ccnox0","nox0"
"auc",0,0,0.499496094177115,0.521473088949775,0.503212984866416,0.512002406890153
"left",0,0,0.470388929144286,0.494594647423183,0.474887723893852,0.486945268219667
"right",0,0,0.528603259209943,0.548351530476366,0.53153824583898,0.537059545560639
