"","ccSVM","SVM","ccOPLS","OPLS","ccnox0","nox0"
"auc",0,0,0.480688328674195,0.605418487114001,0.490443040242038,0.562435279083291
"left",0,0,0.454450758141348,0.577045396758012,0.463922445530619,0.529595024318116
"right",0,0,0.506925899207043,0.63379157746999,0.516963634953457,0.595275533848465
